CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
12356,HIS 750-06,Ph.D. Readings Course,3,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12357,HIS 750-08,Ph.D. Readings Course,3,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12358,HIS 750-11,Ph.D. Readings Course,3,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12359,HIS 750-12,Ph.D. Readings Course,3,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12360,HIS 750-15,Ph.D. Readings Course,3,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12361,HIS 750-18,Ph.D. Readings Course,3,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12362,HIS 750-21,Ph.D. Readings Course,3,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12363,HIS 751-06,Ph.D. Dissertation Seminar,3,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,history,
12364,HIS 751-08,Ph.D. Dissertation Seminar,3,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12365,HIS 751-11,Ph.D. Dissertation Seminar,3,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12366,HIS 751-12,Ph.D. Dissertation Seminar,3,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12368,HIS 751-15,Ph.D. Dissertation Seminar,3,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12369,HIS 751-18,Ph.D. Dissertation Seminar,3,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12370,HIS 751-21,Ph.D. Dissertation Seminar,3,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12371,HIS 799-06,Dissertation,1,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,none,1,5,4,history,
12372,HIS 799-08,Dissertation,1,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,none,3,5,2,history,
12373,HIS 799-10,Dissertation,1,Phyllis W. Hunter,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12374,HIS 799-11,Dissertation,1,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12375,HIS 799-12,Dissertation,1,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12376,HIS 799-15,Dissertation,1,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12377,HIS 799-18,Dissertation,1,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,none,2,5,3,history,
12378,HIS 799-21,Dissertation,1,Lisa C. Tolbert,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12379,HIS 801-08,Thesis Extension,1,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12380,HIS 802-06,Dissertation Extension,1,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12381,HIS 802-08,Dissertation Extension,1,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,history,
12382,HIS 802-10,Dissertation Extension,1,Phyllis W. Hunter,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,history,
12383,HIS 802-11,Dissertation Extension,1,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
14775,HIS 802-12,Dissertation Extension,1,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,none,2,2,0,history,
12384,HIS 802-15,Dissertation Extension,1,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,none,1,2,1,history,
12385,HIS 802-18,Dissertation Extension,1,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,none,0,2,2,history,
12387,HIS 803-06,Grad Resrch Proj Ext,1,Charles C. Bolton,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12388,HIS 803-08,Grad Resrch Proj Ext,1,Mark E. Elliott,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12389,HIS 803-10,Grad Resrch Proj Ext,1,Phyllis W. Hunter,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,history,
12390,HIS 803-11,Grad Resrch Proj Ext,1,Thomas F. Jackson,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12391,HIS 803-12,Grad Resrch Proj Ext,1,Watson W. Jennison,08-JAN-2018 to 25-APR-2018,,,none,1,1,0,history,
12392,HIS 803-15,Grad Resrch Proj Ext,1,Lisa Levenstein,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,history,
12393,HIS 803-18,Grad Resrch Proj Ext,1,Warren G. O'Brien,08-JAN-2018 to 25-APR-2018,,,none,0,1,1,history,
10452,MAT 112-01,Contemporary Topics Math,3,Nathan S. Fontes,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.GMT,3,50,47,math,
12886,MAT 112-02,Contemporary Topics Math,3,Sandi B. Rudzinski,08-JAN-2018 to 25-APR-2018,,,.GMT,3,112,109,math,
14433,MAT 112-02D,Contemporary Topics Math,3,Sandi B. Rudzinski,08-JAN-2018 to 25-APR-2018,,,.GMT,-10,0,10,math,
10453,MAT 112-03,Contemporary Topics Math,3,Nathan S. Fontes,08-JAN-2018 to 25-APR-2018,M W F,1000-1050,.GMT,1,50,49,math,
15920,MAT 112-04,Contemporary Topics Math,3,Aaron F. Rapp,08-JAN-2018 to 25-APR-2018,T R,0800-0915,.GMT,2,50,48,math,
16969,MAT 112-81D,Contemporary Topics Math,3,Sebastian G. Pauli,09-DEC-2017 to 18-JAN-2018,,,.GMT,47,90,43,math,
10454,MAT 115-01,College Algebra,3,Gampola Waduge Nalin Fonseka,08-JAN-2018 to 25-APR-2018,M W F,0800-0850,.GMT,3,50,47,math,
10455,MAT 115-02,College Algebra,3,James E. Rudzinski,08-JAN-2018 to 25-APR-2018,M W F,1100-1150,.GMT,1,50,49,math,
10456,MAT 115-03,College Algebra,3,Keri N. Spetzer,08-JAN-2018 to 25-APR-2018,M,0900-0950,.GMT,0,50,50,math,
13012,MAT 115-04,College Algebra,3,Keri N. Spetzer,08-JAN-2018 to 25-APR-2018,M,1000-1050,.GMT,2,50,48,math,
10457,MAT 115-05,College Algebra,3,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,,,.GMT,3,123,120,math,
14432,MAT 115-05D,College Algebra,3,Clifford D. Smyth,08-JAN-2018 to 25-APR-2018,,,.GMT,-2,0,2,math,
10458,MAT 115-06,College Algebra,3,Amila K. Muthunayake,08-JAN-2018 to 25-APR-2018,T R,0800-0915,.GMT,-1,50,51,math,
