CRN,Course,Title,SH,Instructor,Meeting Dates,Days,Time,Categories,Seats,Limit,Enroll,Subject,Prerequisites
14314,PHI 222-03,Ethics in the Computer Age,3,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,T R,1100-1215,.GPR,0,40,40,philosophy,
10533,PHI 252-01,History Modern Philosophy,3,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,T R,1530-1645,.GHP.GL.GMO,6,50,44,philosophy,
10534,PHI 252-02,History Modern Philosophy,3,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,,,.GHP.GL.GMO,0,33,33,philosophy,
12442,PHI 252-02D,History Modern Philosophy,3,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,,,.GHP.GL.GMO,-15,0,15,philosophy,
13439,PHI 301-01,Phil of Art and Aesthetics,3,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,.WI,0,24,24,philosophy,
17246,PHI 301-01D,Tpcs:Phil of Art and Aesthetic,3,Janine C. Jones,08-JAN-2018 to 25-APR-2018,,,.WI,-2,0,2,philosophy,
16195,PHI 319-01,"Knowledge, Truth, and Belief",3,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,T R,1400-1515,none,17,28,11,philosophy,
17261,PHI 319-01D,"Knowledge, Truth, and Belief",3,Richard L. Gallimore,08-JAN-2018 to 25-APR-2018,,,none,-10,0,10,philosophy,
16804,PHI 321-01,Ethical Theory,3,Michael Zimmerman,08-JAN-2018 to 25-APR-2018,T R,0930-1045,.WI,13,30,17,philosophy,
14067,PHI 331-01,Soc and Political Philosophy,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,T,1530-1800,.GPR,8,26,18,philosophy,
14447,PHI 331-01D,Soc and Political Philosophy,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,.GPR,-13,0,13,philosophy,
14065,PHI 359-01,Philosophy of Religion,3,Gary Rosenkrantz,08-JAN-2018 to 25-APR-2018,,,.GPR,2,36,34,philosophy,
14468,PHI 359-01D,Philosophy of Religion,3,Gary Rosenkrantz,08-JAN-2018 to 25-APR-2018,,,.GPR,-4,0,4,philosophy,
16963,PHI 361-01D,Ethical Issues in Business,3,Wade M. Maki,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,-2,30,32,philosophy,
16964,PHI 361-02D,Ethical Issues in Business,3,Wade M. Maki,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,-2,30,32,philosophy,
12585,PHI 361-03,Ethical Issues in Business,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,1,59,58,philosophy,
10525,PHI 361-04,Ethical Issues in Business,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,0,59,59,philosophy,
10526,PHI 361-05,Ethical Issues in Business,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,0,57,57,philosophy,
14374,PHI 361-05D,Ethical Issues in Business,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,-5,0,5,philosophy,
13612,PHI 361-06,Ethical Issues in Business,3,Michael B. Matteson,08-JAN-2018 to 25-APR-2018,T R,1400-1515,.GN.GPR.SUS,0,60,60,philosophy,
16374,PHI 361-07,Ethical Issues in Business,3,Christopher M. Metivier,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,-1,59,60,philosophy,
17316,PHI 361-07D,Ethical Issues in Business,3,Christopher M. Metivier,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,-1,0,1,philosophy,
14066,PHI 361-08,Ethical Issues in Business,3,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.IGS.SUS,1,56,55,philosophy,
15804,PHI 361-08D,Ethical Issues in Business,3,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.IGS.SUS,-5,0,5,philosophy,
16376,PHI 361-09,Ethical Issues in Business,3,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,0,57,57,philosophy,
17327,PHI 361-09D,Ethical Issues in Business,3,Joseph W. Cole,08-JAN-2018 to 25-APR-2018,,,.GN.GPR.SUS,-3,0,3,philosophy,
12747,PHI 361-81D,Ethical Issues in Business,3,Wade M. Maki,09-DEC-2017 to 18-JAN-2018,,,.GN.GPR.SUS,0,60,60,philosophy,
16966,PHI 361-82D,Ethical Issues in Business,3,Michael B. Matteson,09-DEC-2017 to 18-JAN-2018,,,.GN.GPR.SUS,3,60,57,philosophy,
16197,PHI 363-01,Environmental Ethics,3,Adam M. Rosenfeld,08-JAN-2018 to 25-APR-2018,M W,1530-1645,.ENV.SUS,0,40,40,philosophy,
11725,PHI 402-01,Independent Study,1,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,M W,1400-1515,none,0,1,1,philosophy,
10539,PHI 494-01,Senior Capstone: Phil of Mind,3,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,M W,1530-1645,.SI.WI,10,19,9,philosophy,
14448,PHI 494-01D,Senior Capstone Course,3,Frances Bottenberg,08-JAN-2018 to 25-APR-2018,,,.SI.WI,-6,0,6,philosophy,
10540,PHI 620-01,Ethics and Genetics,3,Heather J. Gert,08-JAN-2018 to 25-APR-2018,R,1300-1550,none,17,25,8,philosophy,
